Code,Parent,Name_fr
"71110","7111","Constructeurs de maisons"
"71120","7112","Maçons, sip"
"71121","7112","Maçons (sauf poêliers-fumistes)"
"71122","7112","Maçons, poêliers-fumistes"
"71130","7113","Fendeurs et tailleurs de pierre"
"71140","7114","Constructeurs en béton armé, maçons ragréeurs et assimilés"
"71150","7115","Charpentiers, menuisiers du bâtiment, installateurs de stores, constructeurs de bateaux, sip"
"71151","7115","Charpentiers"
"71152","7115","Menuisiers du bâtiment"
"71153","7115","Installateurs de stores"
"71154","7115","Constructeurs de bateaux"
"71190","7119","Métiers qualifiés du bâtiment et assimilés non classés ailleurs"
"71200","7120","Métiers qualifiés du bâtiment (second oeuvre) et assimilés, sip"
"71210","7121","Couvreurs et zingueurs"
"71220","7122","Poseurs de revêtements de sol et carreleurs"
"71230","7123","Plâtriers, constructeurs à sec"
"71240","7124","Monteurs en isolation thermique et acoustique, sip"
"71241","7124","Isoleurs, enveloppe des bâtiments"
"71242","7124","Calorifugeurs-tôliers"
"71250","7125","Vitriers"
"71260","7126","Installateurs de chauffage, ferblantiers et installateurs sanitaires, sip"
"71261","7126","Installateurs de chauffage"
"71262","7126","Ferblantiers"
"71263","7126","Installateurs sanitaires"
"71270","7127","Mécaniciens-installateurs réfrigération, climatisation et aération sip"
"71271","7127","Mécaniciens-installateurs aération"
"71272","7127","Mécaniciens-installateurs climatisation et réfrigération"
"71300","7130","Peintres, ravaleurs de façades et assimilés, sip"
"71310","7131","Peintres en bâtiment et poseurs de papiers peints"
"71320","7132","Laqueurs, vernisseurs et assimilés"
"71330","7133","Ravaleurs de façades et ramoneurs"
"72000","7200","Métiers qualifiés de la métallurgie, la construction mécanique (sans polymécanique et mécanique de production) et assimilés, sip"
"72001","7200","Polymécaniciens et mécaniciens de production"
"72100","7210","Mouleurs de fonderie, soudeurs, tôliers-chaudronniers, monteurs de charpentes métalliques et assimilés (à l'exception des constructeurs d'appareils industriels), sip"
"72101","7210","Constructeurs d'appareils industriels"
"72110","7211","Mouleurs et noyauteurs de fonderie"
"72120","7212","Soudeurs et oxycoupeurs"
"72130","7213","Tôliers-chaudronniers"
"72140","7214","Charpentiers métalliers et monteurs de charpentes métalliques"
"72150","7215","Gréeurs et épisseurs de câbles"
"72200","7220","Forgerons, outilleurs et assimilés, sip"
"72210","7221","Forgerons, estampeurs et conducteurs de presses à forger"
"72220","7222","Outilleurs et assimilés"
"72230","7223","Régleurs et conducteurs de machines-outils"
"72240","7224","Meuleurs, polisseurs et affûteurs"
"72300","7230","Mécaniciens et réparateurs de machines, sip"
"72310","7231","Mécaniciens et réparateurs de véhicules à moteur"
"72320","7232","Mécaniciens et réparateurs de moteurs d’avion"
"72330","7233","Mécaniciens et réparateurs de machines agricoles et industrielles"
"72340","7234","Réparateurs de bicyclettes et assimilés"
"73000","7300","Métiers qualifiés de l’artisanat et de l’imprimerie, sip"
"73100","7310","Métiers de l’artisanat, sip"
"73110","7311","Horlogers, opérateurs en horlogerie et micromécaniciens, sip"
"73111","7311","Horlogers"
"73112","7311","Opérateurs en horlogerie"
"73113","7311","Micromécaniciens"
"73120","7312","Facteurs et accordeurs d’instruments de musique"
"73130","7313","Joailliers et orfèvres"
"73140","7314","Potiers et assimilés (produits céramiques et abrasifs)"
"73150","7315","Souffleurs, mouleurs, tailleurs, meuleurs et polisseurs de verre"
"73160","7316","Peintres d’enseignes, peintres-décorateurs et graveurs"
